阿怪	a guai
选择电视该看哪一台	xuan ze dian shi gai kan na yi tai
选择离不开选择生小孩	xuan ze li bu kai xuan ze sheng xiao hai
选择一个人值不值得爱	xuan ze yi ge ren zhi bu zhi de ai
学会爱	xue hui ai
寻得到尘封小店	xun de dao chen feng xiao dian
寻人	xun ren
呀边个边个	ya bian ge bian ge
演唱会	yan chang hui
眼睛张开身边竟是谁	yan jing zhang kai shen bian jing shi shui
眼睛睁开身边竟是谁	yan jing zheng kai shen bian jing shi shui
眼泪溶掉细沙	yan lei rong diao xi sha
眼眉调	yan mei tiao
烟味	yan wei
严重似情侣讲分手	yan zhong si qing lv jiang fen shou
阳性反应	yang xing fan ying
要开往地老天荒需要多勇敢	yao kai wang di lao tian huang xu yao duo yong gan
要你的	yao ni de
要拥有必先懂失去怎接受	yao yong you bi xian dong shi qu zen jie shou
遥远的她	yao yuan de ta
也可尽情地喝吧	ye ke jin qing de he ba
也许是你怕了	ye xu shi ni pa le
也许一生太短陪着你	ye xu yi sheng tai duan pei zhe ni
也只能流落到陌生人的嘴	ye zhi neng liu luo dao mo sheng ren de zui
一滴眼泪	yi di yan lei
一滴眼泪酝酿	yi di yan lei yun niang
一个人	yi ge ren
一个人同携到老不靠运气	yi ge ren tong xie dao lao bu kao yun qi
亦记不到和谁在醉酒中偷偷拥抱	yi ji bu dao he shui zai zui jiu zhong tou tou yong bao
一疋布	yi pi bu
一切还好	yi qie hai hao
一生中最爱	yi sheng zhong zui ai
一时进一时退	yi shi jin yi shi tui
一世一生这肤浅对白	yi shi yi sheng zhe fu qian dui bai
一夜销魂	yi ye xiao hun
因为有你从这里开始	yin wei you ni cong zhe li kai shi
英皇钢琴热恋系列	ying huang gang qin re lian xi lie
拥抱这分钟	yong bao zhe fen zhong
拥不拥有也会记住谁	yong bu yong you ye hui ji zhu shui
用憾事的口吻	yong han shi de kou wen
永远都天明	yong yuan dou tian ming
永远向前路一直都在	yong yuan xiang qian lu yi zhi dou zai
永远在床上发梦	yong yuan zai chuang shang fa meng
有感情别浪费	you gan qing bie lang fei
有了你	you le ni
游离分子	you li fen zi
有没捱坏了身子	you mei ai huai le shen zi
游玩时开心一点不必挂念我	you wan shi kai xin yi dian bu bi gua nian wo
游戏若有输也就有赢	you xi ruo you shu ye jiu you ying
有意无意	you yi wu yi
有一种预感爱就要离岸	you yi zhong yu gan ai jiu yao li an
有一种预感想挽回太难	you yi zhong yu gan xiang wan hui tai nan
预感	yu gan
遇见了你	yu jian le ni
娱乐再无穷但本质都雷同	yu le zai wu qiong dan ben zhi dou lei tong
余生都不会再悲哀	yu sheng dou bu hui zai bei ai
与我常在	yu wo chang zai
冤家	yuan jia
原来爱情的世界很大	yuan lai ai qing de shi jie hen da
原来世界没有那么美	yuan lai shi jie mei you na me mei
原来是最狠的报复	yuan lai shi zui hen de bao fu
原来这里没有你	yuan lai zhe li mei you ni
原来这样没有你	yuan lai zhe yang mei you ni
原谅我不再送花	yuan liang wo bu zai song hua
冤气	yuan qi
愿意在角落唱沙哑的歌	yuan yi zai jiao luo chang sha ya de ge
月黑风高	yue hei feng gao
越渴望见面然后发现	yue ke wang jian mian ran hou fa xian
月球上的人	yue qiu shang de ren
月日晴	yue ri qing
粤语残片	yue yu can pian
酝酿	yun niang
再次的其乐的世界	zai ci de qi le de shi jie
再大声也都是给你	zai da sheng ye dou shi gei ni
在有生的瞬间能遇到你	zai you sheng de shun jian neng yu dao ni
在最后变不到老友	zai zui hou bian bu dao lao you
早开的长途班	zao kai de chang tu ban
早晚会放低	zao wan hui fang di
早知解散后各自有际遇作导游	zao zhi jie san hou ge zi you ji yu zuo dao you
怎麼样	zen mo yang
照着你的笔迹写封信给我	zhao zhe ni de bi ji xie feng xin gei wo
这肤浅对白	zhe fu qian dui bai
这个刹那宇宙	zhe ge cha na yu zhou
这秒钟十分感动	zhe miao zhong shi fen gan dong
这是个残酷的喜剧	zhe shi ge can ku de xi ju
这样的要求	zhe yang de yao qiu
至放大来演吧	zhi fang da lai yan ba
只记得你给我一道皱纹	zhi ji de ni gei wo yi dao zhou wen
只可追忆到想追追不到	zhi ke zhui yi dao xiang zhui zhui bu dao
只能独自庆祝尽量喝醉	zhi neng du zi qing zhu jin liang he zui
只能说我认了	zhi neng shuo wo ren le
只能说我输了	zhi neng shuo wo shu le
只是幻想童话的王国	zhi shi huan xiang tong hua de wang guo
只是近黄昏	zhi shi jin huang hun
只是因为害怕闭上眼	zhi shi yin wei hai pa bi shang yan
中间隔著那十年	zhong jian ge zhu na shi nian
终于一了百了	zhong yu yi liao bai liao
种种意外若能够明白	zhong zhong yi wai ruo neng gou ming bai
转机	zhuan ji
专家话	zhuan jia hua
总得等待别人的答案	zong dei deng dai bie ren de da an
纵坏时生死也懒得起哄	zong huai shi sheng si ye lan de qi hong
总有人被感动	zong you ren bei gan dong
总有人认为我是应该	zong you ren ren wei wo shi ying gai
总有一天它陪我腐烂	zong you yi tian ta pei wo fu lan
走过渐渐熟悉的街头	zou guo jian jian shu xi de jie tou
最后的嬉皮士	zui hou de xi pi shi
最后化烂泥	zui hou hua lan ni
最佳损友	zui jia sun you
最艳的花卉	zui yan de hua hui
做起来我们还不是一样	zuo qi lai wo men hai bu shi yi yang
昨日	zuo ri
