阿尔法	a er fa
琴声何来生死难猜	qin sheng he lai sheng si nan cai
情画	qing hua
青苔天在山之外	qing tai tian zai shan zhi wai
晴天	qing tian
青铜刀锋不轻易用苍生为重	qing tong dao feng bu qing yi yong cang sheng wei zhong
情绪偏离轨道	qing xu pian li gui dao
秋心拆两半	qiu xin chai liang ban
去亲近死神	qu qin jin si shen
圈起了谁改变	quan qi le shui gai bian
全身纯白色的那雕像石膏	quan shen chun bai se de na diao xiang shi gao
全体师生注意	quan ti shi sheng zhu yi
却不知道到底能去哪里	que bu zhi dao dao di neng qu na li
却扯不出个命运	que che bu chu ge ming yun
却将你的爱完全吸收	que jiang ni de ai wan quan xi shou
却彷佛听到同样想法的困扰	que pang fo ting dao tong yang xiang fa de kun rao
却又担心降温了要求	que you dan xin jiang wen le yao qiu
冉冉檀香透过窗心事我了然	ran ran tan xiang tou guo chuang xin shi wo liao ran
让爱没了期待	rang ai mei le qi dai
让家庭回到过去甜甜	rang jia ting hui dao guo qu tian tian
让美女缺氧	rang mei nv que yang
让我把记忆结成冰	rang wo ba ji yi jie cheng bing
让我不再想念你	rang wo bu zai xiang nian ni
让我君临天下的驾驭	rang wo jun lin tian xia de jia yu
让我们乘着阳光	rang wo men cheng zhe yang guang
绕过天真跳至收割期	rao guo tian zhen tiao zhi shou ge qi
热带雨林	re dai yu lin
人们的汗水夹杂着满足与欢笑	ren men de han shui jia za zhe man zu yu huan xiao
忍者	ren zhe
忍者的物语	ren zhe de wu yu
忍者的物语要切断过去	ren zhe de wu yu yao qie duan guo qu
认真投决定命运的硬币	ren zhen tou jue ding ming yun de ying bi
容易破碎的心	rong yi po sui de xin
柔弱中带伤	rou ruo zhong dai shang
如果身份对调	ru guo shen fen dui diao
如果说分手是苦痛的起点	ru guo shuo fen shou shi ku tong de qi dian
如果我有轻功飞檐走壁	ru guo wo you qing gong fei yan zou bi
如果我有轻功哼	ru guo wo you qing gong heng
如果再重来	ru guo zai chong lai
如果真的我有一双翅膀二双翅膀	ru guo zhen de wo you yi shuang chi bang er shuang chi bang
若爱上一个人	ruo ai shang yi ge ren
塞北的客栈人多	sai bei de ke zhan ren duo
三眠三日	san mian san ri
三年二班	san nian er ban
三年二班周杰伦	san nian er ban zhou jie lun
色白花青的锦鲤跃然於碗底	se bai hua qing de jin li yue ran yu wan di
森林绿地都已成纪录片	sen lin lv di dou yi cheng ji lu pian
沙漠之中怎么会有泥鳅	sha mo zhi zhong zen me hui you ni qiu
傻傻地还在等待	sha sha di hai zai deng dai
歃血为盟我等效忠浴火为龙	sha xue wei meng wo deng xiao zhong yu huo wei long
珊瑚海	shan hu hai
上海一九四三	shang hai yi jiu si san
舍不得吃会微笑的糖果	she bu de chi hui wei xiao de tang guo
蛇舞	she wu
深埋在美索不达米亚平原	shen mai zai mei suo bu da mi ya ping yuan
什么兵器最喜欢双截棍柔中带刚	shen me bing qi zui xi huan shuang jie gun rou zhong dai gang
什么都会值得去做	shen me dou hui zhi de qu zuo
什么恩怨过错	shen me en yuan guo cuo
生活习惯真有够混	sheng huo xi guan zhen you gou hun
升狼烟的城池	sheng lang yan de cheng chi
剩下搬空回忆的我在大房子里	sheng xia ban kong hui yi de wo zai da fang zi li
是不是只能用相机纪录自然	shi bu shi zhi neng yong xiang ji ji lu zi ran
是否玩大风吹也许就能看到	shi fou wan da feng chui ye xu jiu neng kan dao
是很长的电影	shi hen chang de dian ying
诗化了悲哀我淋湿现在	shi hua le bei ai wo lin shi xian zai
释怀说了太多就成真不了	shi huai shuo le tai duo jiu cheng zhen bu le
是记忆里有味道的风景	shi ji yi li you wei dao de feng jing
时间快将我掩埋	shi jian kuai jiang wo yan mai
世界末日	shi jie mo ri
是你如今唯一坚持的任性	shi ni ru jin wei yi jian chi de ren xing
失去了等待	shi qu le deng dai
失去你的地方	shi qu ni de di fang
世事看透江湖上	shi shi kan tou jiang hu shang
是谁说没有	shi shui shuo mei you
是谁在阁楼上冰冷的绝望	shi shui zai ge lou shang bing leng de jue wang
是谁在哭	shi shui zai ku
是谁在练太极风生水起	shi shui zai lian tai ji feng sheng shui qi
是我忽略你不过要人陪	shi wo hu lue ni bu guo yao ren pei
是我看过最美的绿地	shi wo kan guo zui mei de lv di
是我说了太多就成真不了	shi wo shuo le tai duo jiu cheng zhen bu le
是我现在最舍不得的画面	shi wo xian zai zui she bu de de hua mian
是我在哭	shi wo zai ku
十一月的萧邦	shi yi yue de xiao bang
是一种说不出的自由自在	shi yi zhong shuo bu chu de zi you zi zai
是应有的惩罚	shi ying you de cheng fa
耍花样	shua hua yang
双刀	shuang dao
双截棍	shuang jie gun
谁的江山	shui de jiang shan
谁是白痴	shui shi bai chi
水向东流时间怎么偷	shui xiang dong liu shi jian zen me tou
谁在用琵琶弹奏一曲东风破	shui zai yong pi pa tan zou yi qu dong feng po
睡着的大提琴安静的旧旧的	shui zhao de da ti qin an jing de jiu jiu de
顺便喂喂我那只小毛驴	shun bian wei wei wo na zhi xiao mao lv
说不	shuo bu
说不不代表懦夫	shuo bu bu dai biao nuo fu
说不上为什么	shuo bu shang wei shen me
说到中学时期家乡的一片片梯田	shuo dao zhong xue shi qi jia xiang de yi pian pian ti tian
说好的幸福呢	shuo hao de xing fu ne
说好要一起旅行	shuo hao yao yi qi lv xing
说话的语气	shuo hua de yu qi
说谎就要付出代价	shuo huang jiu yao fu chu dai jia
四面楚歌	si mian chu ge
思念像底格里斯河般的漫延	si nian xiang di ge li si he ban de man yan
素胚勾勒出青花笔锋浓转淡	su pei gou le chu qing hua bi feng nong zhuan dan
算命	suan ming
随风飘散	sui feng piao san
随记忆一直晃到现在	sui ji yi yi zhi huang dao xian zai
虽然这是我编造出来的事实	sui ran zhe shi wo bian zao chu lai de shi shi
随时出发偷偷出发	sui shi chu fa tou tou chu fa
岁月在墙上剥落看见小时候	sui yue zai qiang shang bo luo kan jian xiao shi hou
损我的英气又那么神气	sun wo de ying qi you na me shen qi
所有云都跑到我这里	suo you yun dou pao dao wo zhe li
他不在乎我却想哭	ta bu zai hu wo que xiang ku
她的睫毛	ta de jie mao
她的睫毛弯的嘴角	ta de jie mao wan de zui jiao
他烤肉竟然会自带水壶	ta kao rou jing ran hui zi dai shui hu
他们儿子我习惯从小就耳濡目染	ta men er zi wo xi guan cong xiao jiu er ru mu ran
他为校争光	ta wei xiao zheng guang
她养的黑猫笑起来像哭啦啦啦呜	ta yang de hei mao xiao qi lai xiang ku la la la wu
他在灌木丛旁邂逅	ta zai guan mu cong pang xie hou
她嘴上亮丽的唇膏	ta zui shang liang li de chun gao
太多假义气一想就气	tai duo jia yi qi yi xiang jiu qi
太多人有秘密	tai duo ren you mi mi
苔藓绿了木屋	tai xian lv le mu wu
太遥远的相爱	tai yao yuan de xiang ai
藤蔓植物爬满了伯爵的坟墓	teng wan zhi wu pa man le bo jue de fen mu
梯田	ti tian
天气冷的让人生闷气	tian qi leng de rang ren sheng men qi
天青色等烟雨而我在等你	tian qing se deng yan yu er wo zai deng ni
天微微亮你轻声地叹	tian wei wei liang ni qing sheng de tan
天涯尽头	tian ya jin tou
天涯之外你是否还在	tian ya zhi wai ni shi fou hai zai
天在山之外雨落花台	tian zai shan zhi wai yu luo hua tai
听过的每句话都很可口呦啊呦	ting guo de mei ju hua dou hen ke kou you a you
听妈妈的话	ting ma ma de hua
听你爸的话你叫我怎么跟你像	ting ni ba de hua ni jiao wo zen me gen ni xiang
听我说武功无法高过寺院的钟	ting wo shuo wu gong wu fa gao guo si yuan de zhong
瞳孔放大不代表就能看的更多	tong kong fang da bu dai biao jiu neng kan de geng duo
童年的荡秋千	tong nian de dang qiu qian
痛是我们在痛痛	tong shi wo men zai tong tong
同一种调调	tong yi zhong diao diao
头脑清楚不能迷糊	tou nao qing chu bu neng mi hu
头文字	tou wen zi
徒留我孤单在湖面成双	tu liu wo gu dan zai hu mian cheng shuang
秃鹰盘旋死盯着腐肉	tu ying pan xuan si ding zhe fu rou
蜕变的公式我学不来	tui bian de gong shi wo xue bu lai
腿短毛不多	tui duan mao bu duo
退后	tui hou
退让	tui rang
瓦解	wa jie
外婆	wai po
完美主义	wan mei zhu yi
望着你慢慢忘记你	wang zhe ni man man wang ji ni
为何比较漂亮的都是在隔壁班	wei he bi jiao piao liang de dou shi zai ge bi ban
威廉古堡	wei lian gu bao
为你翘课的那一天	wei ni qiao ke de na yi tian
为人耿直不屈一身正气哼	wei ren geng zhi bu qu yi shen zheng qi heng
为什么不喝啤酒因为啤酒伤身体	wei shen me bu he pi jiu yin wei pi jiu shang shen ti
为什么都别人手机在响	wei shen me dou bie ren shou ji zai xiang
为什么还要我用微笑来带过	wei shen me hai yao wo yong wei xiao lai dai guo
为什么拿线上宝物简单	wei shen me na xian shang bao wu jian dan
为什么女生不喜欢太胖	wei shen me nv sheng bu xi huan tai pang
为什么上课时举手很难	wei shen me shang ke shi ju shou hen nan
为什么天这么安静	wei shen me tian zhe me an jing
为什么我爸爸那么凶	wei shen me wo ba ba na me xiong
为什么我连分开都迁就着你	wei shen me wo lian fen kai dou qian jiu zhe ni
为什么这么简单你做不到	wei shen me zhe me jian dan ni zuo bu dao
为什么这种速度你追不到	wei shen me zhe zhong su du ni zhui bu dao
闻不到绿意盎然	wen bu dao lv yi ang ran
温岚	wen lan
闻泪声入林寻梨花白	wen lei sheng ru lin xun li hua bai
温柔坏男人	wen rou huai nan ren
文山啊等你写完词	wen shan a deng ni xie wan ci
温馨的欢乐香味	wen xin de huan le xiang wei
我爱的人	wo ai de ren
我爱你你爱我	wo ai ni ni ai wo
我变得很主动	wo bian de hen zhu dong
我不能教育你们	wo bu neng jiao yu ni men
我不配	wo bu pei
我不是个傻瓜	wo bu shi ge sha gua
我不是你们老师	wo bu shi ni men lao shi
我不是校长	wo bu shi xiao zhang
我不想就这样一直走	wo bu xiang jiu zhe yang yi zhi zou
我不想输就算辛苦	wo bu xiang shu jiu suan xin ku
我不想为你为你白花了力气	wo bu xiang wei ni wei ni bai hua le li qi
我才会逼自己离开	wo cai hui bi zi ji li kai
我尝着你话里面的奶油溜啊溜	wo chang zhe ni hua li mian de nai you liu a liu
我当我自己的裁判	wo dang wo zi ji de cai pan
我的地盘	wo de di pan
我的烦恼	wo de fan nao
我的解释请你务必要听	wo de jie shi qing ni wu bi yao ting
我的快乐是你想你想的都会笑	wo de kuai le shi ni xiang ni xiang de dou hui xiao
我等待异族望天空	wo deng dai yi zu wang tian kong
我等待异族望天空歃血为盟	wo deng dai yi zu wang tian kong sha xue wei meng
我等效忠浴火为龙	wo deng xiao zhong yu huo wei long
我等燕归来时间被安排	wo deng yan gui lai shi jian bei an pai
我掉进爱情悬崖	wo diao jin ai qing xuan ya
喔跌倒时尽量不压草皮	wo die dao shi jin liang bu ya cao pi
我懂我也知道你没有舍不得	wo dong wo ye zhi dao ni mei you she bu de
我都出下张专辑喽	wo dou chu xia zhang zhuan ji lou
喔对了对女生用心疼	wo dui le dui nv sheng yong xin teng
我对着黑白照片开始想像	wo dui zhe hei bai zhao pian kai shi xiang xiang
我负荷不来	wo fu he bu lai
我感到很疲倦离家乡还是很远	wo gan dao hen pi juan li jia xiang hai shi hen yuan
我刚好都不会算	wo gang hao dou bu hui suan
我给你的爱写在西元前	wo gei ni de ai xie zai xi yuan qian
我攻城掠地想冷血	wo gong cheng lue di xiang leng xue
我好想再淋一遍	wo hao xiang zai lin yi bian
我很后悔当初没有这样的肯定	wo hen hou hui dang chu mei you zhe yang de ken ding
我很后悔当时没有这样的肯定	wo hen hou hui dang shi mei you zhe yang de ken ding
我很了默契无法伪造	wo hen le mo qi wu fa wei zao
我很忙	wo hen mang
我会发着呆然后忘记你	wo hui fa zhe dai ran hou wang ji ni
我会发着呆然后微微笑	wo hui fa zhe dai ran hou wei wei xiao
我会学着放弃你是因为我太爱你	wo hui xue zhe fang qi ni shi yin wei wo tai ai ni
我将不该犯的错都默背好	wo jiang bu gai fan de cuo dou mo bei hao
我叫你爸你打我妈这样对吗	wo jiao ni ba ni da wo ma zhe yang dui ma
我戒不掉她的微笑	wo jie bu diao ta de wei xiao
我就是忘不掉找快乐的人	wo jiu shi wang bu diao zhao kuai le de ren
我就是要写	wo jiu shi yao xie
我决定插手你的人生	wo jue ding cha shou ni de ren sheng
我控制不来	wo kong zhi bu lai
我啦啦啦骑毛驴因为马跨不上去	wo la la la qi mao lv yin wei ma kua bu shang qu
我两鬓斑白闻泪声入林	wo liang bin ban bai wen lei sheng ru lin
我马儿有些瘦	wo ma er you xie shou
我没有这种天份包容你也接受他	wo mei you zhe zhong tian fen bao rong ni ye jie shou ta
我们的爱怎么才自然	wo men de ai zen me cai zi ran
我们的开始	wo men de kai shi
我们都拥有着相同的大脑	wo men dou yong you zhe xiang tong de da nao
我们溜了多远	wo men liu le duo yuan
我们却注意窗边的蜻蜓	wo men que zhu yi chuang bian de qing ting
我们同一种调调	wo men tong yi zhong diao diao
我们要向他看齐	wo men yao xiang ta kan qi
我们在远距离欣赏与微笑	wo men zai yuan ju li xin shang yu wei xiao
我命格无双一统江山	wo ming ge wu shuang yi tong jiang shan
蜗牛	wo niu
我努力在挽回	wo nu li zai wan hui
我票都还留着	wo piao dou hai liu zhe
我其实都知道	wo qi shi dou zhi dao
我轻轻的尝一口	wo qing qing de chang yi kou
我轻轻的尝一口你说的爱我	wo qing qing de chang yi kou ni shuo de ai wo
我轻轻的尝一口这香浓的诱惑	wo qing qing de chang yi kou zhe xiang nong de you huo
我去到哪里你都跟很紧	wo qu dao na li ni dou gen hen jin
我舍不得离开	wo she bu de li kai
我是三年二班	wo shi san nian er ban
我受不了	wo shou bu liao
我睡不着	wo shui bu zhao
我说的话你甘会听	wo shuo de hua ni gan hui ting
我说店玄三两银够不够	wo shuo dian xuan san liang yin gou bu gou
我说你才像个小孩	wo shuo ni cai xiang ge xiao hai
我送你离开	wo song ni li kai
我虽然是个牛仔在酒吧只点牛奶	wo sui ran shi ge niu zai zai jiu ba zhi dian niu nai
我微笑在你旁边撑伞	wo wei xiao zai ni pang bian cheng san
我微笑着让香味停留	wo wei xiao zhe rang xiang wei ting liu
我闻不到腐烂的香味	wo wen bu dao fu lan de xiang wei
我温热着被呵护的感受	wo wen re zhe bei he hu de gan shou
我喜欢的样子你都有	wo xi huan de yang zi ni dou you
我现在的感受	wo xian zai de gan shou
我想大声宣布	wo xiang da sheng xuan bu
我想带你	wo xiang dai ni
我想带你骑单车	wo xiang dai ni qi dan che
我想和你看棒球	wo xiang he ni kan bang qiu
我想就这样牵着你的手不放开	wo xiang jiu zhe yang qian zhe ni de shou bu fang kai
我想你已表现的非常明白	wo xiang ni yi biao xian de fei chang ming bai
我想起花瓣试着掉落	wo xiang qi hua ban shi zhe diao luo
我想我是太过依赖	wo xiang wo shi tai guo yi lai
我削铁如泥	wo xiao tie ru ni
我也没有办法	wo ye mei you ban fa
我一定带我妈走	wo yi ding dai wo ma zou
我一定会呵护著你也逗你笑	wo yi ding hui he hu zhu ni ye dou ni xiao
我一个人在家乖乖的学插花	wo yi ge ren zai jia guai guai de xue cha hua
我已经跟不上	wo yi jing gen bu shang
我一路安营扎下蓬	wo yi lu an ying zha xia peng
我以女神之名许愿	wo yi nv shen zhi ming xu yuan
我一身的戎装呼啸沧桑	wo yi shen de rong zhuang hu xiao cang sang
我一生在纸上	wo yi sheng zai zhi shang
我用手刀防御哼	wo yong shou dao fang yu heng
我永远做不到	wo yong yuan zuo bu dao
我用子弹写日记介绍完了风景	wo yong zi dan xie ri ji jie shao wan le feng jing
我有颗善良的心都只穿假牛皮	wo you ke shan liang de xin dou zhi chuan jia niu pi
我在门后假装你人还没走	wo zai men hou jia zhuang ni ren hai mei zou
我怎么看不见	wo zen me kan bu jian
我真的看不下去以为我较细汉	wo zhen de kan bu xia qu yi wei wo jiao xi han
我真的没有天份安静的没这么快	wo zhen de mei you tian fen an jing de mei zhe me kuai
我知道但我没办法	wo zhi dao dan wo mei ban fa
我知道共同的默契很重要	wo zhi dao gong tong de mo qi hen zhong yao
我专心打球的侧脸还蛮好看	wo zhuan xin da qiu de ce lian hai man hao kan
我最后才了解	wo zui hou cai liao jie
我坐在客厅模仿雕像思考	wo zuo zai ke ting mo fang diao xiang si kao
我坐着喝味噌汤	wo zuo zhe he wei ceng tang
屋顶	wu ding
呜啦啦啦火车笛随着奔腾的马蹄	wu la la la huo che di sui zhe ben teng de ma ti
无力的躺在干枯的河	wu li de tang zai gan ku de he
无能为力的	wu neng wei li de
午睡操场传来蝉的声音	wu shui cao chang chuan lai chan de sheng yin
屋檐如悬崖风铃如沧海	wu yan ru xuan ya feng ling ru cang hai
无预警地对我笑	wu yu jing di dui wo xiao
无与伦比为杰沉沦	wu yu lun bi wei jie chen lun
吴宗宪	wu zong xian
喜欢这样子	xi huan zhe yang zi
希望他是真的比我还要爱你	xi wang ta shi zhen de bi wo hai yao ai ni
习武之人切记仁者无敌	xi wu zhi ren qie ji ren zhe wu di
吸血前会念约翰福音做为弥补	xi xue qian hui nian yue han fu yin zuo wei mi bu
夕阳斜斜映在斑驳的砖墙	xi yang xie xie ying zai ban bo de zhuan qiang
洗澡都洗泡泡浴因为可以玩玩具	xi zao dou xi pao pao yu yin wei ke yi wan wan ju
下降的速度太快	xia jiang de su du tai kuai
瞎了聋了	xia le long le
瞎说都说不听听	xia shuo dou shuo bu ting ting
夏天的风	xia tian de feng
仙人掌怕羞蜥蜴横着走	xian ren zhang pa xiu xi yi heng zhe zou
显微镜底下的我们	xian wei jing di xia de wo men
想打球下大雨照跳	xiang da qiu xia da yu zhao tiao
像夹心饼干中间有甜头	xiang jia xin bing gan zhong jian you tian tou
想简简单单爱	xiang jian jian dan dan ai
想你的时候就吃上一口	xiang ni de shi hou jiu chi shang yi kou
想爬起来我只能说真的好难	xiang pa qi lai wo zhi neng shuo zhen de hao nan
像是多汁的水蜜桃谁都想咬	xiang shi duo zhi de shui mi tao shui dou xiang yao
相思寄红豆	xiang si ji hong dou
相思是啥咪	xiang si shi sha mi
想要对你说的不敢说的爱	xiang yao dui ni shuo de bu gan shuo de ai
想要去河南嵩山学少林跟武当	xiang yao qu he nan song shan xue shao lin gen wu dang
像一出怀旧的默片	xiang yi chu huai jiu de mo pian
想着那一天会有人代替	xiang zhe na yi tian hui you ren dai ti
像这样的生活	xiang zhe yang de sheng huo
想这样没担忧	xiang zhe yang mei dan you
象征人们蒸蒸日上	xiang zheng ren men zheng zheng ri shang
小妹妹吹着口琴夕阳下美了剪影	xiao mei mei chui zhe kou qin xi yang xia mei le jian ying
消失的旧时光一九四三	xiao shi de jiu shi guang yi jiu si san
消失得太快	xiao shi de tai kuai
消失的下雨天	xiao shi de xia yu tian
小小恐怖吸血鬼家族	xiao xiao kong bu xi xue gui jia zu
小学篱芭旁的蒲公英	xiao xue li ba pang de pu gong ying
写信时用浆糊	xie xin shi yong jiang hu
心里的眼泪模糊了视线	xin li de yan lei mo hu le shi xian
辛辛苦苦从不开窗户	xin xin ku ku cong bu kai chuang hu
辛辛苦苦全家怕日出	xin xin ku ku quan jia pa ri chu
心雨	xin yu
星晴	xing qing
序你去你去	xu ni qu ni qu
徐若瑄	xu ruo xuan
宣纸上走笔至此搁一半	xuan zhi shang zou bi zhi ci ge yi ban
训导处报告训导处报告	xun dao chu bao gao xun dao chu bao gao
寻梨花白只得一行	xun li hua bai zhi de yi hang
寻找周杰伦	xun zhao zhou jie lun
眼睛你要擦亮	yan jing ni yao ca liang
眼泪随着音符吸入血液情绪	yan lei sui zhe yin fu xi ru xue ye qing xu
眼泪知道	yan lei zhi dao
颜色干净没有压力得很讨好	yan se gan jing mei you ya li de hen tao hao
岩烧店的烟味弥漫隔壁是国术馆	yan shao dian de yan wei mi man ge bi shi guo shu guan
烟雾当武器	yan wu dang wu qi
演一场意外你悄然走开	yan yi chang yi wai ni qiao ran zou kai
养了一堆籍口等它成熟	yang le yi dui ji kou deng ta cheng shu
洋溢幸福的味道	yang yi xing fu de wei dao
要给我蜂蜜口味的生活	yao gei wo feng mi kou wei de sheng huo
要切断过去	yao qie duan guo qu
钥匙挂腰带皮夹插后面口袋	yao shi gua yao dai pi jia cha hou mian kou dai
要忘记什么是自己	yao wang ji shen me shi zi ji
要我怎么睡得着	yao wo zen me shui de zhao
夜半清醒的烛火不忍苛责我	ye ban qing xing de zhu huo bu ren ke ze wo
也不能给你们一巴掌	ye bu neng gei ni men yi ba zhang
夜的第七章	ye de di qi zhang
野孩子	ye hai zi
叶惠美	ye hui mei
夜空的精灵	ye kong de jing ling
也没有规则可以取巧	ye mei you gui ze ke yi qu qiao
夜曲	ye qu
也是我另一项参展作品	ye shi wo ling yi xiang can zhan zuo pin
也是我现在正服下的毒药	ye shi wo xian zai zheng fu xia de du yao
夜太漫长	ye tai man chang
也许时间是一种解药	ye xu shi jian shi yi zhong jie yao
也许时间是一种解药解药	ye xu shi jian shi yi zhong jie yao jie yao
爷爷泡的茶	ye ye pao de cha
爷爷用楷书写一个满	ye ye yong kai shu xie yi ge man
一定要幸福	yi ding yao xing fu
一放好多年它一直在身边	yi fang hao duo nian ta yi zhi zai shen bian
以父之名	yi fu zhi ming
一股神秘在敲	yi gu shen mi zai qiao
伊贺流忍者的想法嘿	yi he liu ren zhe de xiang fa hei
一壶好酒	yi hu hao jiu
一壶漂泊浪迹天涯难入喉	yi hu piao bo lang ji tian ya nan ru hou
一壶乡愁	yi hu xiang chou
一句惹毛我的人有危险	yi ju re mao wo de ren you wei xian
一路向北	yi lu xiang bei
一起看着日落	yi qi kan zhe ri luo
一起长大的约定	yi qi zhang da de yue ding
一切又重演	yi qie you chong yan
依然范特西	yi ran fan te xi
以上这道理我全都了	yi shang zhe dao li wo quan dou le
一身琉璃白透明着尘埃	yi shen liu li bai tou ming zhe chen ai
伊斯坦堡	yi si tan bao
以为你还会回来	yi wei ni hai hui hui lai
依稀可见几个字岁岁平安	yi xi ke jian ji ge zi sui sui ping an
一些些应该体贴的感觉我没给	yi xie xie ying gai ti tie de gan jue wo mei gei
一样的嗜好	yi yang de shi hao
一夜惆怅如此委婉	yi ye chou chang ru ci wei wan
一页页不忍翻阅的情节你好累	yi ye ye bu ren fan yue de qing jie ni hao lei
一再重演一根我不抽的烟	yi zai chong yan yi gen wo bu chou de yan
一盏离愁孤灯伫立在窗口	yi zhan li chou gu deng zhu li zai chuang kou
一阵莫名感动	yi zhen mo ming gan dong
一直到我们都睡着	yi zhi dao wo men dou shui zhao
一只灰狼问我谁是神枪手	yi zhi hui lang wen wo shui shi shen qiang shou
一只令他心仪的母斑鸠	yi zhi ling ta xin yi de mu ban jiu
印第安斑鸠会学人开口	yin di an ban jiu hui xue ren kai kou
印第安斑鸠哦好休息一下	yin di an ban jiu o hao xiu xi yi xia
印地安老斑鸠	yin di an lao ban jiu
印第安老斑鸠	yin di an lao ban jiu
印第安老斑鸠平常话不多	yin di an lao ban jiu ping chang hua bu duo
因地制宜综合利用	yin di zhi yi zong he li yong
隐身要彻底	yin shen yao che di
因为那无关紧要	yin wei na wu guan jin yao
因为我们等不到那流星	yin wei wo men deng bu dao na liu xing
银制茶壶装蟑螂蜘蛛	yin zhi cha hu zhuang zhang lang zhi zhu
樱花落满地有一种神秘	ying hua luo man di you yi zhong shen mi
影响我的士气	ying xiang wo de shi qi
拥抱要真	yong bao yao zhen
用楔形文字刻下了永远	yong xie xing wen zi ke xia le yong yuan
用眼神对我拍照	yong yan shen dui wo pai zhao
用一生	yong yi sheng
用一生去等待	yong yi sheng qu deng dai
拥有一双蓝色眼睛的凯萨琳公主	yong you yi shuang lan se yan jing de kai sa lin gong zhu
永远都赢不了	yong yuan dou ying bu liao
又斑驳了几句	you ban bo le ji ju
有点讽刺有点酸性	you dian feng ci you dian suan xing
有多少的蛮力就拉多少的弓	you duo shao de man li jiu la duo shao de gong
有个啥用	you ge sha yong
犹记得那年我们都还很年幼	you ji de na nian wo men dou hai hen nian you
有没有口罩一个给我	you mei you kou zhao yi ge gei wo
釉色渲染仕女图韵味被私藏	you se xuan ran shi nv tu yun wei bei si cang
有谁能比我知道	you shui neng bi wo zhi dao
又想那一年你温柔的脸	you xiang na yi nian ni wen rou de lian
有些事没办法教	you xie shi mei ban fa jiao
有些事太快	you xie shi tai kuai
有一股自信的骄傲我看得到	you yi gu zi xin de jiao ao wo kan de dao
有一条热昏头的响尾蛇	you yi tiao re hun tou de xiang wei she
有一种榻榻米的稻香叫做禅	you yi zhong ta ta mi de dao xiang jiao zuo chan
有专属的铃声讯号	you zhuan shu de ling sheng xun hao
雨落花台我等你来	yu luo hua tai wo deng ni lai
与你聊不完的曾经	yu ni liao bu wan de ceng jing
雨轻轻弹	yu qing qing dan
于是捡起地上他那第二个钮扣	yu shi jian qi di shang ta na di er ge niu kou
于是也因此让我得了最佳摄影	yu shi ye yin ci rang wo de le zui jia she ying
远方的横笛吹奏你战败的消息	yuan fang de heng di chui zou ni zhan bai de xiao xi
缘份走到这也赖着不走	yuan fen zou dao zhe ye lai zhe bu zou
冤家	yuan jia
园游会	yuan you hui
月光	yue guang
约会要等讲笑话不能闷	yue hui yao deng jiang xiao hua bu neng men
月色被打捞起晕开了结局	yue se bei da lao qi yun kai le jie ju
在吹着头发飘动	zai chui zhe tou fa piao dong
在等待雨季来临变沼泽	zai deng dai yu ji lai lin bian zhao ze
在多年以后	zai duo nian yi hou
再给我两分钟	zai gei wo liang fen zhong
在挂电话的刚才	zai gua dian hua de gang cai
在还原那场雨	zai huan yuan na chang yu
在回忆的路上时间变好慢	zai hui yi de lu shang shi jian bian hao man
再继续努力	zai ji xu nu li
再来一碗热粥	zai lai yi wan re zhou
在旁观看庭园假山	zai pang guan kan ting yuan jia shan
在瓶底书汉隶仿前朝的飘逸	zai ping di shu han li fang qian chao de piao yi
在人海中漂泊心伤透	zai ren hai zhong piao bo xin shang tou
在我没回去过的老家米缸	zai wo mei hui qu guo de lao jia mi gang
在我忘记之前	zai wo wang ji zhi qian
在小村外的溪边	zai xiao cun wai de xi bian
在小村外的溪边河口	zai xiao cun wai de xi bian he kou
在一处被废弃的白蚁丘	zai yi chu bei fei qi de bai yi qiu
在远方决斗	zai yuan fang jue dou
在月光下一直找寻	zai yue guang xia yi zhi zhao xun
在走廊上罚站打手心	zai zou lang shang fa zhan da shou xin
怎么那一天的我们	zen me na yi tian de wo men
怎么梯田不见多了几家饭店	zen me ti tian bu jian duo le ji jia fan dian
怎么隐藏我的悲伤	zen me yin cang wo de bei shang
站在你这边	zhan zai ni zhe bian
站在屋顶只对风说不想被左右	zhan zai wu ding zhi dui feng shuo bu xiang bei zuo you
站着一只饿昏的老斑鸠	zhan zhe yi zhi e hun de lao ban jiu
战争	zhan zheng
掌长长长篇大论	zhang zhang chang chang pian da lun
这感觉已经不对	zhe gan jue yi jing bu dui
这故事告诉我印第安的传说	zhe gu shi gao su wo yin di an de chuan shuo
这街上太拥挤	zhe jie shang tai yong ji
这目的很好笑	zhe mu di hen hao xiao
这日子不再绿	zhe ri zi bu zai lv
这首歌我自己来	zhe shou ge wo zi ji lai
这香浓的诱惑	zhe xiang nong de you huo
这巷弄太过弯曲走不回故事里	zhe xiang nong tai guo wan qu zou bu hui gu shi li
这虚荣的骄傲	zhe xu rong de jiao ao
这样也好	zhe yang ye hao
这只是刚刚入门	zhe zhi shi gang gang ru men
这种结果我不要	zhe zhong jie guo wo bu yao
这种世道叫做乱世	zhe zhong shi dao jiao zuo luan shi
这种艺术真的很难领悟	zhe zhong yi shu zhen de hen nan ling wu
这种隐居叫做江湖	zhe zhong yin ju jiao zuo jiang hu
这里忍者蒙着脸在角落吹暗箭	zhei li ren zhe meng zhe lian zai jiao luo chui an jian
这里什么奇怪的事都有	zhei li shen me qi guai de shi dou you
真不该睁不开	zhen bu gai zheng bu kai
